r/z,0,0.1,0.2,0.5,1,2,5,10
0,1,0.9992056843852192,0.9925048160758498,0.9105653199322106,0.6464490225311612,0.2844587240383683,0.057133986109109226,0.014814664548075833
0.25,1,0.9987562319809382,0.9906066536324468,0.8961700735268125,0.625605075873875,0.2778308138461873,0.05680833827685957,0.014792053175275231
0.5,1,0.9973124147179411,0.9809729468801477,0.8395678868490316,0.5622257904086009,0.2588915338410738,0.05584623438597021,0.014724505364017804
0.75,1,0.985791615726739,0.9247181468411245,0.6923379954079679,0.4587808504379267,0.2303166786114211,0.05429082320753414,0.014612872373698583
1,0.5,0.48338780145920873,0.4678236024178842,0.41748000217815406,0.33223914474870014,0.19599847415763635,0.05220965546733869,0.014458547775424442
1.5,0,0.0011572955993722658,0.008035446408931213,0.06044330453441899,0.12665187057544228,0.1264721733611366,0.04682583901830535,0.014029877613027054
2,0,0.00011305233528489776,0.0008684152550314655,0.010471893917435398,0.04180942486336631,0.07333492128642773,0.040478115331234826,0.013458807104610677
3,0,8.877004304800216e-06,7.019362028597838e-05,0.001012847158884726,0.00624577457397318,0.022499492826833695,0.027723830675962315,0.011994654328424833
5,0,5.44636668824854e-07,4.34238830950229e-06,6.627251835963955e-05,0.0004884259019243203,0.002891584534667783,0.010802881992910015,0.00856050098004544
